linkID,  Given Slope, Calculated Slope
51867645, -0.102, 0.00442164559428
554739608, -0.0943333333333, -4.18366471848e-09
51869460, -0.77125, -0.00391664334712
764758872, -2.3523, -4.319309967e-08
565390315, -2.974875, -0.00465542183849
760114605, -2.21973684211, 0.00114214310674
565390747, -3.29022727273, -0.00913834977635
565390744, -0.6786, 0.00657968048623
565390483, -0.55025, -0.0248045081559
565390484, -0.526, -0.0049846313114
762000760, -1.88433333333, -0.00698816262727
760305983, 0.502, 0.00959526137609
764776140, -0.320176470588, 0.0048379363283
764761162, 2.69203921569, 0.00446283517501
548030040, 0.161090909091, 0.0103567702298
792608946, -0.0401666666667, 0.0112882505039
554737096, -0.0567692307692, -1.19330873234e-07
79654851, -0.714285714286, 0.0049202979296
732990610, 0.7685, -0.0127933460635
554730583, -0.275, -0.00210862846647
554712535, -0.0974, 0.00498396193297
724697720, 0.651, 0.00522190016509
60115048, 0.2815, -0.010799035449
67944675, -0.832, 0.0274135035806
83717773, -0.375375, -0.00913801635251
572246795, -0.075, 0.00522151754302
554712707, 0.3245, 0.00265322484311
51734665, 0.0560833333333, 0.00119182873839
51833449, 0.11125, 0.00731036546956
746824096, -0.8052, 0.0274141807031
60930209, -1.13614285714, -0.0274143581996
77319385, 0.328428571429, -0.023987880934
565383822, -0.338052631579, -0.0156655163004
756568009, 0.055, 0
756568010, 0.252666666667, -0.00498440272621
51958949, 1.054125, 0.00581530967979
572198061, -0.163857142857, 0.00577156696338
764692639, -0.0326666666667, 0.000945367954857
67949737, -0.245333333333, -0.0195820168884
51961237, -0.0266666666667, 2.72343987398e-07
764554678, -0.0632857142857, 0.00483796002112
554732372, -0.0359285714286, -0.00456892043009
51958711, 0.44875, -0.0105443402845
75411978, 0.051, 0.0274124510222
772019395, 0.162685714286, 0.0199373754004
51581870, 0.91, 0.0121842008829
792749304, 2.03853846154, -0.0146207637658
76178481, 0.238, 0.0111711107919
76218210, -0.569588235294, 0.0150004848465
67908000, 1.5538, 0.00279739815135
51754914, 0.9755, -0.0164484785412
792660764, 0.9445, -0.0134154085308
554711283, 0.388, -0.00953517522755
554711284, 1.22358333333, -0.0187566501321
67946493, 0.074, 0.0044213232667
51921845, -0.155285714286, 0.00152261312707
769249002, -0.25175, 0.00730993271098
67917650, 0.0942222222222, 0.0070490250184
572247688, -0.0995714285714, -0.0216419820815
724664913, 0.0226666666667, 0.00137093953669
716348914, 0.664428571429, 0.00265279264793
724660086, -0.0726956521739, 2.39179956221e-07
792515660, -0.0314, -0.00222248661299
769159859, -0.878, 0.00456855247412
792712542, 0.158363636364, 0.0127933180803
792678664, 0.683, 0.00913695743147
572247801, -0.328, -0.00573789753123
554712894, -0.3907, 0.00228455178937
67946252, -0.9614, 0.0117486871477
67946242, 0.1085, 0.00959490341341
554712931, -1.02084210526, 0.0274125851048
554712978, 0.00233333333333, -0.00268748560015
554713012, 0.989, 0.00137100157809
64974230, 0.552571428571, -0.00548283976642
762997981, 0.17, -0.00124622416937
792584005, 0.773, 2.68131804171e-07
554726046, -0.9315, 2.15784498082e-07
586485799, 0.0361111111111, -0.0274127629446
745912256, 0.4856, 0
79675237, 0.194166666667, -0.00119196250386
763538410, -0.1894375, 0.000740767960017
586485301, -0.1859, -0.00376263251532
586486377, 0.6255, 0.00334326850034
554731031, -1.29966666667, -0.00877235802659
554731790, -0.954, 0.00191295446487
586527722, 0.386055555556, 0.00625240712669
554723104, 0.000375, -0.0137072955052
80689551, -0.01925, 0.0102133558471
769308609, 0.404666666667, -0.000609183832036
67946478, -0.77, 0.0137067039787
51921886, 0.369555555556, -0.00548290352646
769303749, -0.031, 0.0108379630977
724498365, -0.108363636364, 0.00456905319085
67949399, -1.64357142857, -0.011949689619
766598363, -0.9485, -0.0017499564328
68016652, -0.1575, -0.00391636735249
554723489, -1.674, 0.00304580581006
80675789, -0.00266666666667, 0.00548255015502
67945963, -0.053, 0.00265278560453
67903349, 0.0756875, 0.00913772161866
80675971, -0.003125, -0.00124596766151
80675893, -0.214263157895, -0.00670099045399
67942148, -0.0706363636364, -0.00357564360559
586507179, -1.27613333333, -0.00438634793446
67946322, 0.3525, -0.0274149604528
67946323, 0.628, 0.00210859716606
51860706, -0.196333333333, 0.0274142097438
51860707, 0.179285714286, 0.00814970630899
51746412, 0.2125, 0.010965429004
67945948, -0.06375, 0.00773180468375
540640153, -0.14375, -0.00334346538126
67946584, -0.0403333333333, 0.0131108794316
572247186, -0.08825, 0.0154197541448
792804060, -0.266666666667, -0.000668787377561
554713752, -0.305, -0.00195822486311
783508108, -0.039, 0.00913800725616
554745488, 0.0260909090909, 0.000740955029452
554745489, -0.23, 0.00249217502993
708470042, 0.459375, -0.00421715161488
554711934, -0.0454285714286, 0.00101516911334
724664911, 0.0558181818182, -0.00483685954155
67951945, 0.078, -0.00304599336649
769163201, 0.010375, -0.00228451580383
769172852, -0.022, 0.000830651790518
540640972, -0.10375, 0.00182761792905
572247807, -0.4255, 0.000637382856764
572247792, 0.0315882352941, -0.000783649997048
67899386, -0.1595, -0.00114238309248
554712907, -0.051, -0.00685384137843
67946254, -0.5284, -0.0105443156781
554712910, -1.00714285714, -0.0109661424388
554743284, 0.0701428571429, 0.00101517021926
554743285, -0.555736842105, 0.0137077764012
551710462, 1.1987, -0.00913800732537
51921843, -0.110166666667, 0.00814989180037
67943839, -2.054, 0.0114643507587
769317714, -1.12946153846, 0.014722395281
67907923, -0.504375, 0.00105442309079
75411081, 2.29033333333, -0.00548296093159
772066626, -1.2995, -0.00203080738641
61217148, -1.44644444444, -0.0124606408158
61217120, 1.07242857143, -0.00573741049832
76217027, 0.392666666667, 0.0144546176518
797879685, 0.07275, -0.0274122095698
51578446, -2.444, -0.00856635345696
75410578, 0.0231111111111, -0.0124605037913
